date,time,home,away,venue,league,umpire1,realumpire1,umpire2,realumpire2,observer,realobserver,off,moved,notes
07/04/2024,11:00,Saffron Walden,Sawston & Babraham,,Friendly,,,,,,,,,
13/04/2024,11:00,Saffron Walden,Bishops Stortford,,Friendly,,,,,,,,,
20/04/2024,12:00,Eaton Socon,Old Leysians,,Whitings 1,,,,,,,,,Pink Ball
20/04/2024,12:00,Ramsey,Cambridge Saint Giles,,Whitings 1,,,,,,,,,Pink Ball
20/04/2024,12:00,Saffron Walden II,Blunham,,Whitings 1,,,,,,,,,Pink Ball
20/04/2024,12:00,Sawston & Babraham II,Histon,,Whitings 1,,,,,,,,,Pink Ball
20/04/2024,12:00,Southill Park,Foxton Granta,,Whitings 1,,,,,,,,,Pink Ball
20/04/2024,12:00,Wisbech Town,Burwell & Exning,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Blunham,Wisbech Town,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Burwell & Exning,Old Leysians,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Cambridge Saint Giles,Saffron Walden II,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Foxton Granta,Sawston & Babraham II,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Histon,Ramsey,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Southill Park,Eaton Socon,,Whitings 1,,,,,,,,,Pink Ball
27/04/2024,12:00,Stamford Town,Newmarket,,Whitings 2,,,,,,,,,Pink Ball
27/04/2024,12:30,Eaton Socon II,Barnack,,Whitings 3,,,,,,,,,
27/04/2024,13:00,Ramsey II,Wisbech Town II,,CCA Sen 1,,,,,,,,,
04/05/2024,12:00,Blunham,Cambridge Saint Giles,,Whitings 1,,,,,,,,,Pink Ball
04/05/2024,12:00,Eaton Socon,Foxton Granta,,Whitings 1,,,,,,,,,Pink Ball
04/05/2024,12:00,Ramsey,Old Leysians,,Whitings 1,,,,,,,,,Pink Ball
04/05/2024,12:00,Saffron Walden II,Burwell & Exning,,Whitings 1,,,,,,,,,Pink Ball
04/05/2024,12:00,Sawston & Babraham II,Southill Park,,Whitings 1,,,,,,,,,Pink Ball
04/05/2024,12:00,Wisbech Town,Histon,,Whitings 1,,,,,,,,,Pink Ball
04/05/2024,12:00,Cambridge NCI,Upwood,,Whitings 2,,,,,,,,,Pink Ball
04/05/2024,12:00,Castor & Ailsworth,Kimbolton,,Whitings 2,,,,,,,,,Pink Ball
04/05/2024,12:00,Godmanchester Town,Stamford Town,,Whitings 2,,,,,,,,,Pink Ball
04/05/2024,12:00,March Town,Newmarket,,Whitings 2,,,,,,,,,Pink Ball
04/05/2024,12:00,Saint Ives & Warboys,Biggleswade Town,,Whitings 2,,,,,,,,,Pink Ball
04/05/2024,12:30,Barnack,Royston,,Whitings 3,,,,,,,,,
04/05/2024,12:30,Foxton Granta II,Eaton Socon II,,Whitings 3,,,,,,,,,
04/05/2024,12:30,Histon II,Cambourne,,Whitings 3,,,,,,,,,
04/05/2024,12:30,Waresley,Ufford Park,,Whitings 3,,,,,,,,,
04/05/2024,13:00,Bluntisham,Wisbech Town II,,CCA Sen 1,,,,,,,,,
04/05/2024,13:00,City of Ely,Abington,,CCA Sen 1,,,,,,,,,
04/05/2024,13:00,Horseheath,Ramsey II,,CCA Sen 1,,,,,,,,,
04/05/2024,13:00,Thriplow,Longstanton Grasshoppers,,CCA Sen 1,,,,,,,,,
04/05/2024,13:00,Wilburton,Fulbourn Institute,,CCA Sen 1,,,,,,,,,
04/05/2024,13:00,Cambourne II,Linton Village,,CCA Sen 2,,,,,,,,,
04/05/2024,13:00,Cambridge Old Monks,Audley End,,CCA Sen 2,,,,,,,,,
04/05/2024,13:00,Cambridge St Giles II,Chatteris,,CCA Sen 2,,,,,,,,,
04/05/2024,13:00,Milton,Madingley,,CCA Sen 2,,,,,,,,,
04/05/2024,13:00,Wilbrahams,Saffron Walden III,,CCA Sen 2,,,,,,,,,
04/05/2024,13:00,Buntingford,TAC,,CCA Sen 3,,,,,,,,,
04/05/2024,13:00,Chesterfords,March Town II,,CCA Sen 3,,,,,,,,,
04/05/2024,13:00,Elmdon,Chippenham,,CCA Sen 3,,,,,,,,,
04/05/2024,13:00,Ickleton,Saint Ives & Warboys II,,CCA Sen 3,,,,,,,,,
04/05/2024,13:00,Little Shelford,Cottenham,,CCA Sen 3,,,,,,,,,
11/05/2024,12:00,Burwell & Exning,Ramsey,,Whitings 1,,,,,,,,,Pink Ball
11/05/2024,12:00,Cambridge Saint Giles,Sawston & Babraham II,,Whitings 1,,,,,,,,,Pink Ball
11/05/2024,12:00,Foxton Granta,Old Leysians,,Whitings 1,,,,,,,,,Pink Ball
11/05/2024,12:00,Histon,Blunham,,Whitings 1,,,,,,,,,Pink Ball
11/05/2024,12:00,Saffron Walden II,Eaton Socon,,Whitings 1,,,,,,,,,Pink Ball
11/05/2024,12:00,Southill Park,Wisbech Town,,Whitings 1,,,,,,,,,Pink Ball
11/05/2024,12:00,Biggleswade Town,Godmanchester Town,,Whitings 2,,,,,,,,,Pink Ball
11/05/2024,12:00,Kimbolton,Cambridge NCI,,Whitings 2,,,,,,,,,Pink Ball
11/05/2024,12:00,March Town,Castor & Ailsworth,,Whitings 2,,,,,,,,,Pink Ball
11/05/2024,12:00,Stamford Town,Saint Ives & Warboys,,Whitings 2,,,,,,,,,Pink Ball
11/05/2024,12:00,Upwood,Newmarket,,Whitings 2,,,,,,,,,Pink Ball
11/05/2024,12:30,Cambourne,Ufford Park,,Whitings 3,,,,,,,,,
11/05/2024,12:30,Huntingdon & District,Royston,,Whitings 3,,,,,,,,,
11/05/2024,12:30,Waresley,Histon II,,Whitings 3,,,,,,,,,
11/05/2024,13:00,Abington,Bluntisham,,CCA Sen 1,,,,,,,,,
11/05/2024,13:00,Fulbourn Institute,City of Ely,,CCA Sen 1,,,,,,,,,
11/05/2024,13:00,Longstanton Grasshoppers,Horseheath,,CCA Sen 1,,,,,,,,,
11/05/2024,13:00,Ramsey II,Wilburton,,CCA Sen 1,,,,,,,,,
11/05/2024,13:00,Wisbech Town II,Thriplow,,CCA Sen 1,,,,,,,,,
11/05/2024,13:00,Chatteris,Audley End,,CCA Sen 2,,,,,,,,,
11/05/2024,13:00,Linton Village,Cambridge St Giles II,,CCA Sen 2,,,,,,,,,
11/05/2024,13:00,Milton,Cambourne II,,CCA Sen 2,,,,,,,,,
11/05/2024,13:00,Saffron Walden III,Madingley,,CCA Sen 2,,,,,,,,,
11/05/2024,13:00,Wilbrahams,Cambridge Old Monks,,CCA Sen 2,,,,,,,,,
11/05/2024,13:00,Chesterfords,Buntingford,,CCA Sen 3,,,,,,,,,
11/05/2024,13:00,Chippenham,March Town II,,CCA Sen 3,,,,,,,,,
11/05/2024,13:00,Little Shelford,Ickleton,,CCA Sen 3,,,,,,,,,
11/05/2024,13:00,Saint Ives & Warboys II,Cottenham,,CCA Sen 3,,,,,,,,,
11/05/2024,13:00,TAC,Elmdon,,CCA Sen 3,,,,,,,,,
18/05/2024,12:00,Blunham,Old Leysians,,Whitings 1,,,,,,,,,Pink Ball
18/05/2024,12:00,Cambridge Saint Giles,Histon,,Whitings 1,,,,,,,,,Pink Ball
18/05/2024,12:00,Eaton Socon,Burwell & Exning,,Whitings 1,,,,,,,,,Pink Ball
18/05/2024,12:00,Ramsey,Southill Park,,Whitings 1,,,,,,,,,Pink Ball
18/05/2024,12:00,Sawston & Babraham II,Saffron Walden II,,Whitings 1,,,,,,,,,Pink Ball
18/05/2024,12:00,Wisbech Town,Foxton Granta,,Whitings 1,,,,,,,,,Pink Ball
18/05/2024,12:00,Cambridge NCI,Biggleswade Town,,Whitings 2,,,,,,,,,Pink Ball
18/05/2024,12:00,Castor & Ailsworth,Upwood,,Whitings 2,,,,,,,,,Pink Ball
18/05/2024,12:00,Godmanchester Town,March Town,,Whitings 2,,,,,,,,,Pink Ball
18/05/2024,12:00,Kimbolton,Stamford Town,,Whitings 2,,,,,,,,,Pink Ball
18/05/2024,12:00,Newmarket,Saint Ives & Warboys,,Whitings 2,,,,,,,,,Pink Ball
18/05/2024,12:30,Foxton Granta II,Barnack,,Whitings 3,,,,,,,,,
18/05/2024,12:30,Histon II,Huntingdon & District,,Whitings 3,,,,,,,,,
18/05/2024,12:30,Royston,Cambourne,,Whitings 3,,,,,,,,,
18/05/2024,12:30,Ufford Park,Waresley,,Whitings 3,,,,,,,,,
18/05/2024,13:00,Bluntisham,Fulbourn Institute,,CCA Sen 1,,,,,,,,,
18/05/2024,13:00,City of Ely,Ramsey II,,CCA Sen 1,,,,,,,,,
18/05/2024,13:00,Horseheath,Wisbech Town II,,CCA Sen 1,,,,,,,,,
18/05/2024,13:00,Thriplow,Abington,,CCA Sen 1,,,,,,,,,
18/05/2024,13:00,Wilburton,Longstanton Grasshoppers,,CCA Sen 1,,,,,,,,,
18/05/2024,13:00,Audley End,Cambridge St Giles II,,CCA Sen 2,,,,,,,,,
18/05/2024,13:00,Cambourne II,Madingley,,CCA Sen 2,,,,,,,,,
18/05/2024,13:00,Chatteris,Wilbrahams,,CCA Sen 2,,,,,,,,,
18/05/2024,13:00,Linton Village,Cambridge Old Monks,,CCA Sen 2,,,,,,,,,
18/05/2024,13:00,Milton,Saffron Walden III,,CCA Sen 2,,,,,,,,,
18/05/2024,13:00,Chippenham,Chesterfords,,CCA Sen 3,,,,,,,,,
18/05/2024,13:00,Cottenham,TAC,,CCA Sen 3,,,,,,,,,
18/05/2024,13:00,Ickleton,Elmdon,,CCA Sen 3,,,,,,,,,
18/05/2024,13:00,March Town II,Little Shelford,,CCA Sen 3,,,,,,,,,
18/05/2024,13:00,Saint Ives & Warboys II,Buntingford,,CCA Sen 3,,,,,,,,,
25/05/2024,11:00,Blunham,Ramsey,,Whitings 1,,,,,,,,,Red Ball
25/05/2024,11:00,Burwell & Exning,Cambridge Saint Giles,,Whitings 1,,,,,,,,,Red Ball
25/05/2024,11:00,Old Leysians,Sawston & Babraham II,,Whitings 1,,,,,,,,,Red Ball
25/05/2024,11:00,Saffron Walden II,Foxton Granta,,Whitings 1,,,,,,,,,Red Ball
25/05/2024,11:00,Southill Park,Histon,,Whitings 1,,,,,,,,,Red Ball
25/05/2024,11:00,Wisbech Town,Eaton Socon,,Whitings 1,,,,,,,,,Red Ball
25/05/2024,12:00,Biggleswade Town,Newmarket,,Whitings 2,,,,,,,,,Pink Ball
25/05/2024,12:00,Cambridge NCI,Castor & Ailsworth,,Whitings 2,,,,,,,,,Pink Ball
25/05/2024,12:00,March Town,Stamford Town,,Whitings 2,,,,,,,,,Pink Ball
25/05/2024,12:00,Saint Ives & Warboys,Kimbolton,,Whitings 2,,,,,,,,,Pink Ball
25/05/2024,12:00,Upwood,Godmanchester Town,,Whitings 2,,,,,,,,,Pink Ball
25/05/2024,12:30,Eaton Socon II,Cambourne,,Whitings 3,,,,,,,,,
25/05/2024,12:30,Foxton Granta II,Ufford Park,,Whitings 3,,,,,,,,,
25/05/2024,12:30,Histon II,Barnack,,Whitings 3,,,,,,,,,
25/05/2024,12:30,Waresley,Royston,,Whitings 3,,,,,,,,,
25/05/2024,13:00,Fulbourn Institute,Wisbech Town II,,CCA Sen 1,,,,,,,,,
25/05/2024,13:00,Horseheath,Bluntisham,,CCA Sen 1,,,,,,,,,
25/05/2024,13:00,Longstanton Grasshoppers,City of Ely,,CCA Sen 1,,,,,,,,,
25/05/2024,13:00,Ramsey II,Thriplow,,CCA Sen 1,,,,,,,,,
25/05/2024,13:00,Wilburton,Abington,,CCA Sen 1,,,,,,,,,
25/05/2024,13:00,Audley End,Milton,,CCA Sen 2,,,,,,,,,
25/05/2024,13:00,Cambridge Old Monks,Chatteris,,CCA Sen 2,,,,,,,,,
25/05/2024,13:00,Madingley,Linton Village,,CCA Sen 2,,,,,,,,,
25/05/2024,13:00,Saffron Walden III,Cambridge St Giles II,,CCA Sen 2,,,,,,,,,
25/05/2024,13:00,Wilbrahams,Cambourne II,,CCA Sen 2,,,,,,,,,
25/05/2024,13:00,Buntingford,March Town II,,CCA Sen 3,,,,,,,,,
25/05/2024,13:00,Chesterfords,Cottenham,,CCA Sen 3,,,,,,,,,
25/05/2024,13:00,Elmdon,Saint Ives & Warboys II,,CCA Sen 3,,,,,,,,,
25/05/2024,13:00,Little Shelford,Chippenham,,CCA Sen 3,,,,,,,,,
25/05/2024,13:00,TAC,Ickleton,,CCA Sen 3,,,,,,,,,
01/06/2024,11:00,Cambridge Saint Giles,Wisbech Town,,Whitings 1,,,,,,,,,Red Ball
01/06/2024,11:00,Eaton Socon,Ramsey,,Whitings 1,,,,,,,,,Red Ball
01/06/2024,11:00,Foxton Granta,Burwell & Exning,,Whitings 1,,,,,,,,,Red Ball
01/06/2024,11:00,Histon,Saffron Walden II,,Whitings 1,,,,,,,,,Red Ball
01/06/2024,11:00,Old Leysians,Southill Park,,Whitings 1,,,,,,,,,Red Ball
01/06/2024,11:00,Sawston & Babraham II,Blunham,,Whitings 1,,,,,,,,,Red Ball
01/06/2024,12:00,Castor & Ailsworth,Biggleswade Town,,Whitings 2,,,,,,,,,Red Ball
01/06/2024,12:00,Godmanchester Town,Cambridge NCI,,Whitings 2,,,,,,,,,Red Ball
01/06/2024,12:00,Kimbolton,Upwood,,Whitings 2,,,,,,,,,Red Ball
01/06/2024,12:00,March Town,Saint Ives & Warboys,,Whitings 2,,,,,,,,,Red Ball
01/06/2024,12:00,Newmarket,Stamford Town,,Whitings 2,,,,,,,,,Red Ball
01/06/2024,12:30,Cambourne,Foxton Granta II,,Whitings 3,,,,,,,,,
01/06/2024,12:30,Royston,Eaton Socon II,,Whitings 3,,,,,,,,,
01/06/2024,12:30,Ufford Park,Histon II,,Whitings 3,,,,,,,,,
01/06/2024,12:30,Waresley,Huntingdon & District,,Whitings 3,,,,,,,,,
01/06/2024,13:00,Bluntisham,City of Ely,,CCA Sen 1,,,,,,,,,
01/06/2024,13:00,Fulbourn Institute,Horseheath,,CCA Sen 1,,,,,,,,,
01/06/2024,13:00,Ramsey II,Abington,,CCA Sen 1,,,,,,,,,
01/06/2024,13:00,Wilburton,Thriplow,,CCA Sen 1,,,,,,,,,
01/06/2024,13:00,Wisbech Town II,Longstanton Grasshoppers,,CCA Sen 1,,,,,,,,,
01/06/2024,13:00,Audley End,Cambourne II,,CCA Sen 2,,,,,,,,,
