date,time,home,away,venue,league,umpire1,realumpire1,umpire2,realumpire2,observer,realobserver,off,moved,notes
19/04/2025,12:00,Burwell & Exning,Blunham,,Onyx 1,,,,,,,,,Pink Ball
19/04/2025,12:00,Cambridge Saint Giles,Foxton Granta,,Onyx 1,,,,,,,,,Pink Ball
19/04/2025,12:00,Eaton Socon,Histon,,Onyx 1,,,,,,,,,Pink Ball
19/04/2025,12:00,Ramsey,Old Leysians,,Onyx 1,,,,,,,,,Pink Ball
19/04/2025,12:00,Saffron Walden,Castor & Ailsworth,,Onyx 1,,,,,,,,,Pink Ball
19/04/2025,12:00,Wisbech Town,Sawston & Babraham II,,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Blunham,Wisbech Town,,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Burwell & Exning,Castor & Ailsworth,,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Cambridge Saint Giles,Eaton Socon,,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Old Leysians,Foxton Granta,Fitzwilliam College,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Ramsey,Histon,,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Sawston & Babraham II,Saffron Walden,,Onyx 1,,,,,,,,,Pink Ball
26/04/2025,12:00,Saffron Walden II,Cambridge NCI,,Onyx 2,,,,,,,,,Red Ball
26/04/2025,12:00,Foxton Granta II,Royston,,Onyx 3,,,,,,,,,Pink Ball
03/05/2025,12:00,Burwell & Exning,Old Leysians,,Onyx 1,,,,,,,,,Pink Ball
03/05/2025,12:00,Castor & Ailsworth,Blunham,,Onyx 1,,,,,,,,,Pink Ball
03/05/2025,12:00,Eaton Socon,Foxton Granta,,Onyx 1,,,,,,,,,Pink Ball
03/05/2025,12:00,Histon,Saffron Walden,,Onyx 1,,,,,,,,,Pink Ball
03/05/2025,12:00,Ramsey,Sawston & Babraham II,,Onyx 1,,,,,,,,,Pink Ball
03/05/2025,12:00,Wisbech Town,Cambridge Saint Giles,,Onyx 1,,,,,,,,,Pink Ball
03/05/2025,12:00,Godmanchester Town,Kimbolton,,Onyx 2,,,,,,,,,Pink Ball
03/05/2025,12:00,Newmarket,Cambridge NCI,,Onyx 2,,,,,,,,,Pink Ball
03/05/2025,12:00,Saffron Walden II,Biggleswade Town,,Onyx 2,,,,,,,,,Pink Ball
03/05/2025,12:00,Saint Ives & Warboys,Southill Park,,Onyx 2,,,,,,,,,Pink Ball
03/05/2025,12:00,Waresley,Upwood,,Onyx 2,,,,,,,,,Pink Ball
03/05/2025,12:00,Barnack,Royston,,Onyx 3,,,,,,,,,Red Ball
03/05/2025,12:00,Cambourne,City of Ely,,Onyx 3,,,,,,,,,Red Ball
03/05/2025,12:00,Foxton Granta II,Eaton Socon II,,Onyx 3,,,,,,,,,Red Ball
03/05/2025,12:00,LGR,Stamford Town,,Onyx 3,,,,,,,,,Red Ball
03/05/2025,12:00,March Town,Ufford Park,,Onyx 3,,,,,,,,,Red Ball
10/05/2025,12:00,Burwell & Exning,Wisbech Town,,Onyx 1,,,,,,,,,Pink Ball
10/05/2025,12:00,Cambridge Saint Giles,Blunham,,Onyx 1,,,,,,,,,Pink Ball
10/05/2025,12:00,Castor & Ailsworth,Old Leysians,,Onyx 1,,,,,,,,,Pink Ball
10/05/2025,12:00,Eaton Socon,Sawston & Babraham II,,Onyx 1,,,,,,,,,Pink Ball
10/05/2025,12:00,Foxton Granta,Histon,,Onyx 1,,,,,,,,,Pink Ball
10/05/2025,12:00,Saffron Walden,Ramsey,,Onyx 1,,,,,,,,,Pink Ball
10/05/2025,12:00,Biggleswade Town,Saint Ives & Warboys,,Onyx 2,,,,,,,,,Pink Ball
10/05/2025,12:00,Cambridge NCI,Waresley,,Onyx 2,,,,,,,,,Pink Ball
10/05/2025,12:00,Kimbolton,Newmarket,,Onyx 2,,,,,,,,,Pink Ball
10/05/2025,12:00,Southill Park,Saffron Walden II,,Onyx 2,,,,,,,,,Pink Ball
10/05/2025,12:00,Upwood,Godmanchester Town,,Onyx 2,,,,,,,,,Pink Ball
10/05/2025,12:00,Barnack,Foxton Granta II,,Onyx 3,,,,,,,,,Pink Ball
10/05/2025,12:00,City of Ely,Eaton Socon II,,Onyx 3,,,,,,,,,Pink Ball
10/05/2025,12:00,LGR,Ufford Park,,Onyx 3,,,,,,,,,Pink Ball
10/05/2025,12:00,Royston,Cambourne,,Onyx 3,,,,,,,,,Pink Ball
10/05/2025,12:00,Stamford Town,March Town,,Onyx 3,,,,,,,,,Pink Ball
17/05/2025,12:00,Blunham,Foxton Granta,,Onyx 1,,,,,,,,,Pink Ball
17/05/2025,12:00,Cambridge Saint Giles,Saffron Walden,,Onyx 1,,,,,,,,,Pink Ball
17/05/2025,12:00,Histon,Old Leysians,,Onyx 1,,,,,,,,,Pink Ball
17/05/2025,12:00,Ramsey,Burwell & Exning,,Onyx 1,,,,,,,,,Pink Ball
17/05/2025,12:00,Sawston & Babraham II,Castor & Ailsworth,,Onyx 1,,,,,,,,,Pink Ball
17/05/2025,12:00,Wisbech Town,Eaton Socon,,Onyx 1,,,,,,,,,Pink Ball
17/05/2025,12:00,Biggleswade Town,Newmarket,,Onyx 2,,,,,,,,,Pink Ball
17/05/2025,12:00,Godmanchester Town,Cambridge NCI,,Onyx 2,,,,,,,,,Pink Ball
17/05/2025,12:00,Saffron Walden II,Upwood,,Onyx 2,,,,,,,,,Pink Ball
17/05/2025,12:00,Saint Ives & Warboys,Kimbolton,,Onyx 2,,,,,,,,,Pink Ball
17/05/2025,12:00,Waresley,Southill Park,,Onyx 2,,,,,,,,,Pink Ball
17/05/2025,12:00,City of Ely,Stamford Town,,Onyx 3,,,,,,,,,Pink Ball
17/05/2025,12:00,Eaton Socon II,Barnack,,Onyx 3,,,,,,,,,Pink Ball
17/05/2025,12:00,Foxton Granta II,Cambourne,,Onyx 3,,,,,,,,,Pink Ball
17/05/2025,12:00,March Town,LGR,,Onyx 3,,,,,,,,,Pink Ball
17/05/2025,12:00,Ufford Park,Royston,,Onyx 3,,,,,,,,,Pink Ball
24/05/2025,11:00,Burwell & Exning,Sawston & Babraham II,,Onyx 1,,,,,,,,,Red Ball
24/05/2025,11:00,Eaton Socon,Castor & Ailsworth,,Onyx 1,,,,,,,,,Red Ball
24/05/2025,11:00,Foxton Granta,Ramsey,,Onyx 1,,,,,,,,,Red Ball
24/05/2025,11:00,Histon,Cambridge Saint Giles,,Onyx 1,,,,,,,,,Red Ball
24/05/2025,11:00,Old Leysians,Blunham,,Onyx 1,,,,,,,,,Red Ball
24/05/2025,11:00,Saffron Walden,Wisbech Town,,Onyx 1,,,,,,,,,Red Ball
24/05/2025,12:00,Cambridge NCI,Saffron Walden II,,Onyx 2,,,,,,,,,Pink Ball
24/05/2025,12:00,Kimbolton,Biggleswade Town,,Onyx 2,,,,,,,,,Pink Ball
24/05/2025,12:00,Southill Park,Godmanchester Town,,Onyx 2,,,,,,,,,Pink Ball
24/05/2025,12:00,Upwood,Newmarket,,Onyx 2,,,,,,,,,Pink Ball
24/05/2025,12:00,Waresley,Saint Ives & Warboys,,Onyx 2,,,,,,,,,Pink Ball
24/05/2025,12:00,Barnack,Cambourne,,Onyx 3,,,,,,,,,Pink Ball
24/05/2025,12:00,LGR,City of Ely,,Onyx 3,,,,,,,,,Pink Ball
24/05/2025,12:00,March Town,Royston,,Onyx 3,,,,,,,,,Pink Ball
24/05/2025,12:00,Stamford Town,Eaton Socon II,,Onyx 3,,,,,,,,,Pink Ball
24/05/2025,12:00,Ufford Park,Foxton Granta II,,Onyx 3,,,,,,,,,Pink Ball
31/05/2025,11:00,Blunham,Castor & Ailsworth,,Onyx 1,,,,,,,,,Red Ball
31/05/2025,11:00,Cambridge Saint Giles,Wisbech Town,,Onyx 1,,,,,,,,,Red Ball
31/05/2025,11:00,Foxton Granta,Eaton Socon,,Onyx 1,,,,,,,,,Red Ball
31/05/2025,11:00,Old Leysians,Burwell & Exning,,Onyx 1,,,,,,,,,Red Ball
31/05/2025,11:00,Saffron Walden,Histon,,Onyx 1,,,,,,,,,Red Ball
31/05/2025,11:00,Sawston & Babraham II,Ramsey,,Onyx 1,,,,,,,,,Red Ball
31/05/2025,12:00,Biggleswade Town,Cambridge NCI,,Onyx 2,,,,,,,,,Pink Ball
31/05/2025,12:00,Newmarket,Godmanchester Town,,Onyx 2,,,,,,,,,Pink Ball
