date,time,home,away,venue,league,umpire1,realumpire1,umpire2,realumpire2,observer,realobserver,off,moved,notes
02/05/2026,13:00,Cambourne,Barnack,,Onyx 2,,,,,,,,,
02/05/2026,13:00,Cambridge Saint Giles,Newmarket,,Onyx 1,,,,,,,,,
02/05/2026,13:00,Eaton Socon II,Cambridge NCI,,Onyx 2,,,,,,,,,
02/05/2026,13:00,Godmanchester Town,Old Leysians,,Onyx 2,,,,,,,,,
02/05/2026,13:00,Histon,Foxton Granta,,Onyx 1,,,,,,,,,
02/05/2026,13:00,Kimbolton,Blunham,,Onyx 2,,,,,,,,,
02/05/2026,13:00,Saffron Walden,Eaton Socon,,Onyx 1,,,,,,,,,
02/05/2026,13:00,Southill Park,Burwell & Exning,,Onyx 1,,,,,,,,,
02/05/2026,13:00,Upwood,Waresley,,Onyx 2,,,,,,,,,
02/05/2026,13:00,Wisbech Town,Sawston & Babraham II,,Onyx 1,,,,,,,,,
02/05/2026,13:00,Biggleswade Town,City of Ely,,Onyx 3,,,,,,,,,
02/05/2026,13:00,Foxton Granta II,March Town,,Onyx 3,,,,,,,,,
02/05/2026,13:00,LGR,Saffron Walden II,,Onyx 3,,,,,,,,,
02/05/2026,13:00,Stamford Town,Elstow,,Onyx 3,,,,,,,,,
09/05/2026,13:00,Barnack,Eaton Socon II,,Onyx 2,,,,,,,,,
09/05/2026,13:00,Blunham,Old Leysians,,Onyx 2,,,,,,,,,
09/05/2026,13:00,Burwell & Exning,Saffron Walden,,Onyx 1,,,,,,,,,
09/05/2026,13:00,Cambourne,Upwood,,Onyx 2,,,,,,,,,
09/05/2026,13:00,Cambridge NCI,Waresley,,Onyx 2,,,,,,,,,
09/05/2026,13:00,Eaton Socon,Foxton Granta,,Onyx 1,,,,,,,,,
09/05/2026,13:00,Godmanchester Town,Kimbolton,,Onyx 2,,,,,,,,,
09/05/2026,13:00,Newmarket,Wisbech Town,,Onyx 1,,,,,,,,,
09/05/2026,13:00,Sawston & Babraham II,Cambridge Saint Giles,Babraham,Onyx 1,,,,,,,,,
09/05/2026,13:00,Southill Park,Histon,,Onyx 1,,,,,,,,,
09/05/2026,13:00,Foxton Granta II,Biggleswade Town,,Onyx 3,,,,,,,,,
09/05/2026,13:00,LGR,Cambridge Old Monks,,Onyx 3,,,,,,,,,
09/05/2026,13:00,Saffron Walden II,March Town,,Onyx 3,,,,,,,,,
09/05/2026,13:00,Stamford Town,City of Ely,,Onyx 3,,,,,,,,,
16/05/2026,13:00,Barnack,Cambridge NCI,,Onyx 2,,,,,,,,,
16/05/2026,13:00,Cambridge Saint Giles,Southill Park,,Onyx 1,,,,,,,,,
16/05/2026,13:00,Eaton Socon II,Godmanchester Town,,Onyx 2,,,,,,,,,
16/05/2026,13:00,Foxton Granta,Saffron Walden,,Onyx 1,,,,,,,,,
16/05/2026,13:00,Histon,Burwell & Exning,,Onyx 1,,,,,,,,,
16/05/2026,13:00,Kimbolton,Cambourne,,Onyx 2,,,,,,,,,
16/05/2026,13:00,Sawston & Babraham II,Newmarket,,Onyx 1,,,,,,,,,
16/05/2026,13:00,Upwood,Old Leysians,,Onyx 2,,,,,,,,,
16/05/2026,13:00,Waresley,Blunham,,Onyx 2,,,,,,,,,
16/05/2026,13:00,Wisbech Town,Eaton Socon,,Onyx 1,,,,,,,,,
16/05/2026,13:00,Biggleswade Town,Stamford Town,,Onyx 3,,,,,,,,,
16/05/2026,13:00,City of Ely,Cambridge Old Monks,,Onyx 3,,,,,,,,,
16/05/2026,13:00,March Town,Elstow,,Onyx 3,,,,,,,,,
16/05/2026,13:00,Saffron Walden II,Foxton Granta II,,Onyx 3,,,,,,,,,
23/05/2026,13:00,Blunham,Barnack,,Onyx 2,,,,,,,,,
23/05/2026,13:00,Burwell & Exning,Sawston & Babraham II,,Onyx 1,,,,,,,,,
23/05/2026,13:00,Cambridge NCI,Upwood,,Onyx 2,,,,,,,,,
23/05/2026,13:00,Eaton Socon,Cambridge Saint Giles,,Onyx 1,,,,,,,,,
23/05/2026,13:00,Foxton Granta,Southill Park,,Onyx 1,,,,,,,,,
23/05/2026,13:00,Godmanchester Town,Waresley,,Onyx 2,,,,,,,,,
23/05/2026,13:00,Kimbolton,Eaton Socon II,,Onyx 2,,,,,,,,,
23/05/2026,13:00,Newmarket,Histon,,Onyx 1,,,,,,,,,
23/05/2026,13:00,Old Leysians,Cambourne,,Onyx 2,,,,,,,,,
23/05/2026,13:00,Saffron Walden,Wisbech Town,,Onyx 1,,,,,,,,,
23/05/2026,13:00,Cambridge Old Monks,Stamford Town,,Onyx 3,,,,,,,,,
23/05/2026,13:00,City of Ely,Foxton Granta II,,Onyx 3,,,,,,,,,
23/05/2026,13:00,Elstow,Saffron Walden II,,Onyx 3,,,,,,,,,
23/05/2026,13:00,LGR,March Town,,Onyx 3,,,,,,,,,
30/05/2026,13:00,Barnack,Kimbolton,,Onyx 2,,,,,,,,,
30/05/2026,13:00,Cambourne,Godmanchester Town,,Onyx 2,,,,,,,,,
30/05/2026,13:00,Cambridge Saint Giles,Histon,,Onyx 1,,,,,,,,,
30/05/2026,13:00,Eaton Socon,Newmarket,,Onyx 1,,,,,,,,,
30/05/2026,13:00,Old Leysians,Cambridge NCI,,Onyx 2,,,,,,,,,
30/05/2026,13:00,Sawston & Babraham II,Foxton Granta,,Onyx 1,,,,,,,,,
30/05/2026,13:00,Southill Park,Saffron Walden,,Onyx 1,,,,,,,,,
30/05/2026,13:00,Upwood,Blunham,,Onyx 2,,,,,,,,,
30/05/2026,13:00,Waresley,Eaton Socon II,,Onyx 2,,,,,,,,,
30/05/2026,13:00,Wisbech Town,Burwell & Exning,,Onyx 1,,,,,,,,,
30/05/2026,13:00,Foxton Granta II,Cambridge Old Monks,,Onyx 3,,,,,,,,,
30/05/2026,13:00,LGR,Elstow,,Onyx 3,,,,,,,,,
30/05/2026,13:00,March Town,Biggleswade Town,,Onyx 3,,,,,,,,,
30/05/2026,13:00,Saffron Walden II,City of Ely,,Onyx 3,,,,,,,,,
06/06/2026,13:00,Burwell & Exning,Cambridge Saint Giles,,Onyx 1,,,,,,,,,
06/06/2026,13:00,Eaton Socon,Histon,,Onyx 1,,,,,,,,,
06/06/2026,13:00,Foxton Granta,Wisbech Town,,Onyx 1,,,,,,,,,
06/06/2026,13:00,Newmarket,Saffron Walden,,Onyx 1,,,,,,,,,
06/06/2026,13:00,Southill Park,Sawston & Babraham II,,Onyx 1,,,,,,,,,
06/06/2026,13:00,Barnack,Old Leysians,,Onyx 2,,,,,,,,,
06/06/2026,13:00,Blunham,Cambridge NCI,,Onyx 2,,,,,,,,,
06/06/2026,13:00,Cambourne,Eaton Socon II,,Onyx 2,,,,,,,,,
06/06/2026,13:00,Godmanchester Town,Upwood,,Onyx 2,,,,,,,,,
06/06/2026,13:00,Kimbolton,Waresley,,Onyx 2,,,,,,,,,
06/06/2026,13:00,Cambridge Old Monks,Biggleswade Town,,Onyx 3,,,,,,,,,
06/06/2026,13:00,City of Ely,LGR,,Onyx 3,,,,,,,,,
06/06/2026,13:00,Elstow,Foxton Granta II,,Onyx 3,,,,,,,,,
06/06/2026,13:00,Saffron Walden II,Stamford Town,,Onyx 3,,,,,,,,,
13/06/2026,13:00,Burwell & Exning,Eaton Socon,,Onyx 1,,,,,,,,,
13/06/2026,13:00,Newmarket,Foxton Granta,,Onyx 1,,,,,,,,,
13/06/2026,13:00,Saffron Walden,Cambridge Saint Giles,,Onyx 1,,,,,,,,,
13/06/2026,13:00,Sawston & Babraham II,Histon,,Onyx 1,,,,,,,,,
13/06/2026,13:00,Wisbech Town,Southill Park,,Onyx 1,,,,,,,,,
13/06/2026,13:00,Blunham,Godmanchester Town,,Onyx 2,,,,,,,,,
13/06/2026,13:00,Cambridge NCI,Cambourne,,Onyx 2,,,,,,,,,
13/06/2026,13:00,Eaton Socon II,Old Leysians,,Onyx 2,,,,,,,,,
13/06/2026,13:00,Upwood,Kimbolton,,Onyx 2,,,,,,,,,
13/06/2026,13:00,Waresley,Barnack,,Onyx 2,,,,,,,,,
13/06/2026,13:00,Biggleswade Town,Saffron Walden II,,Onyx 3,,,,,,,,,
13/06/2026,13:00,Cambridge Old Monks,Elstow,,Onyx 3,,,,,,,,,
13/06/2026,13:00,Foxton Granta II,LGR,,Onyx 3,,,,,,,,,
